timestamp_precise,plate_number,vehicle_type,cross_count,reverse_count
2024-04-29 06:40:01.000,325167,pickup,22,2
2024-04-29 06:43:11.192,315234,sedan,6,2
2024-04-29 07:02:02.891,สก5815,tuktuk,1,0
2024-04-29 07:13:00.355,333915,pickup,0,0
2024-04-29 07:26:53.094,314720,motorbike,0,0
2024-04-29 07:27:19.608,กง4530,other,0,0
2024-04-29 07:29:15.055,341631,pickup,11,2
2024-04-29 07:42:48.958,345351,other,0,0
2024-04-29 07:43:16.191,1มก3812,truck,2,2
2024-04-29 07:44:38.168,1นก355,pickup,0,0
2024-04-29 07:45:32.876,สก323,motorbike,0,0
2024-04-29 07:57:05.091,320211,pickup,0,0
2024-04-29 08:03:38.504,344280,pickup,14,4
2024-04-29 08:12:08.130,341354,bus,2,5
2024-04-29 08:15:06.644,345251,pickup,0,1
2024-04-29 08:40:56.629,332185,van,7,3
2024-04-29 09:13:08.792,สก1157,motorbike,0,0
2024-04-29 09:16:02.628,321406,pickup,2,12
2024-04-29 09:25:48.112,4กง217,pickup,0,0
2024-04-29 09:25:56.229,ขท3660,van,0,0
2024-04-29 09:45:52.231,1นจ6479,pickup,0,0
2024-04-29 10:15:41.634,341520,bus,10,2
2024-04-29 10:17:56.316,339050,pickup,49,32
2024-04-29 10:30:41.754,สธ531,motorbike,0,0
2024-04-29 10:44:54.164,ฐก4108,truck,3,0
2024-04-29 10:47:35.722,1นค8151,pickup,3,0
2024-04-29 10:54:34.608,สก1568,motorbike,0,0
2024-04-29 10:54:43.886,สก5839,bus,3,1
2024-04-29 10:56:11.226,สก547,truck,0,0
2024-04-29 11:10:58.509,สฐ596,motorbike,0,0
2024-04-29 11:15:35.755,30372,motorbike,0,2
2024-04-29 11:25:32.516,9กผ4057,hatchback,2,0
2024-04-29 11:34:57.602,1มก9013,bus,0,0
2024-04-29 11:52:36.083,339050,bus,2,5
2024-04-29 12:30:13.242,338441,pickup,3,1
2024-04-29 12:56:04.627,30312,other,7,4
2024-04-29 12:59:20.533,สก6848,tuktuk,0,0
2024-04-29 13:05:11.362,333115,bus,1,0
2024-04-29 13:58:32.944,7กก9320,van,0,1
2024-04-29 14:32:06.850,ทห5758,pickup,0,0
2024-04-29 02:10:06.124,5กก9770,pickup,0,0
2024-04-29 02:39:01.057,สก180,motorbike,0,0
2024-04-29 02:49:58.203,ทฬ709,pickup,3,1
2024-04-29 02:54:46.806,1มก3392,taxi,0,0
2024-04-29 02:58:18.830,ฎษ589,pickup,1,0
2024-04-29 03:15:42.993,339835,pickup,2,1
2024-04-29 03:28:45.702,335937,van,0,2
2024-04-29 03:55:04.645,ทห1490,taxi,0,0
2024-04-29 04:11:48.856,ฮง6151,van,1,0
2024-04-29 04:37:03.731,360080,pickup,4,2
2024-04-29 04:42:37.602,339833,pickup,10,5
2024-04-29 05:12:27.604,สก4166,bus,0,0
2024-04-29 05:16:06.347,329727,pickup,8,1
2024-04-29 05:25:26.998,สก1284,tuktuk,1,0
2024-04-29 05:42:07.490,สก2394,tuktuk,1,0
2024-04-29 05:42:14.328,สก2394,tuktuk,0,0
2024-04-29 05:46:23.862,ฮภ7006,pickup,8,0
2024-04-29 05:47:34.722,1นจ4052,pickup,0,2
2024-04-29 05:55:53.989,327705,motorbike,4,0
2024-04-29 06:04:01.179,324602,pickup,9,0
2024-04-29 06:10:06.403,339915,pickup,3,1
2024-04-29 06:35:12.763,ฮฉ6547,pickup,2,0
2024-04-29 06:41:02.508,ฮฐ4581,pickup,2,2
2024-04-29 06:43:06.473,315234,bus,0,0
2024-04-29 07:12:57.636,333915,pickup,0,0
2024-04-29 07:14:52.125,กก588,pickup,1,0
2024-04-29 07:20:07.523,344726,van,13,10
2024-04-29 07:27:14.008,ฮข1068,van,1,2
2024-04-29 07:29:11.095,421631,van,1,0
2024-04-29 07:33:30.307,550039,tuktuk,0,1
2024-04-29 07:35:29.477,317134,pickup,1,0
2024-04-29 07:44:26.811,1นก355,van,0,0
2024-04-29 07:45:29.877,สก323,tuktuk,1,0
2024-04-29 07:47:37.202,ฮท7763,bus,13,3
2024-04-29 07:53:27.468,320211,van,2,1
2024-04-29 08:03:35.305,344280,pickup,0,0
2024-04-29 08:12:06.412,345251,pickup,12,3
2024-04-29 08:27:58.955,344308,van,6,10
2024-04-29 08:31:21.623,345275,pickup,5,18
2024-04-29 08:42:56.196,327705,bus,10,4
2024-04-29 08:49:43.566,344992,sedan,0,0
2024-04-29 08:49:49.964,สก2763,tuktuk,2,1
2024-04-29 08:56:10.626,302422,van,2,3
2024-04-29 09:05:51.511,320434,pickup,2,3
2024-04-29 09:11:02.509,สก4165,tuktuk,2,1
2024-04-29 09:12:56.597,สก1157,tuktuk,0,0
2024-04-29 09:15:57.630,341406,pickup,0,0
2024-04-29 09:16:28.223,3กส2212,van,18,5
2024-04-29 09:25:44.513,ฮภ3643,pickup,1,1
2024-04-29 09:26:25.541,สศ1130,tuktuk,2,0
2024-04-29 09:45:44.513,1นจ6479,pickup,2,1
2024-04-29 10:04:37.449,สก2357,tuktuk,0,1
2024-04-29 10:06:04.107,สช851,tuktuk,3,2
2024-04-29 10:11:58.851,สก2879,tuktuk,1,1
2024-04-29 10:12:47.957,341520,bus,7,1
2024-04-29 10:16:53.334,สก570,tuktuk,0,2
2024-04-29 10:17:02.212,สก576,tuktuk,2,2
2024-04-29 10:17:09.210,สก570,tuktuk,1,3
2024-04-29 10:23:08.951,สก2879,tuktuk,0,0
2024-04-29 10:47:14.448,1นค8151,sedan,2,0
2024-04-29 10:50:16.241,7กม6762,pickup,1,3
2024-04-29 10:51:57.852,สก5815,tuktuk,0,0
2024-04-29 10:54:27.931,สก1568,tuktuk,0,0
2024-04-29 10:54:40.807,ส2595,tuktuk,0,1
2024-04-29 10:54:54.563,สก547,tuktuk,2,3
2024-04-29 11:10:42.393,สช598,tuktuk,1,0
2024-04-29 11:11:53.853,สก2879,tuktuk,4,3
2024-04-29 11:34:33.489,สก547,tuktuk,1,1
2024-04-29 11:35:30.239,330183,pickup,0,0
2024-04-29 11:40:21.000,สก350,tuktuk,1,0
2024-04-29 11:41:38.218,อก5,sedan,3,0
2024-04-29 11:43:13.472,สก1157,tuktuk,0,1
2024-04-29 11:52:30.723,330050,bus,2,0
2024-04-29 12:27:51.958,1นข6827,pickup,3,0
2024-04-29 12:30:10.242,208749,pickup,2,3
2024-04-29 12:49:33.609,333591,pickup,14,2
2024-04-29 13:04:08.017,สก4747,tuktuk,2,0
2024-04-29 13:05:07.003,521135,bus,2,2
2024-04-29 13:12:58.196,สข1856,other,0,0
2024-04-29 13:29:15.934,สช3494,taxi,1,0
2024-04-29 13:30:42.113,5กน1202,pickup,0,0
2024-04-29 13:35:17.521,กบ4275,pickup,0,0
2024-04-29 13:45:51.471,303381,taxi,2,0
